id;rut;nombre;direccion;fecha_creacion;fecha_modificacion
1;Product;panel Refined;Honduras Orchard;2020-06-03T04:23:54;2020-06-02T21:50:33
2;Metal;Multi-tiered Borders;Wooden Fish compress;2020-06-02T23:15:03;2020-06-03T13:19:35
3;Concrete Egypti;algorithm;bypassing Agent Estonia;2020-06-02T22:34:30;2020-06-03T09:00:31
4;Awesome Fresh C;Configuration Kiribati Future-proofed;Dam Intelligent Concrete Pants;2020-06-02T23:38:07;2020-06-03T14:03:44
5;withdrawal;Salad GB;digital;2020-06-02T22:12:59;2020-06-02T21:38:06
6;Communications ;Focused optical violet;generating;2020-06-02T18:28:15;2020-06-03T03:40:46
7;navigate web-en;National Analyst Books;program;2020-06-03T09:17:57;2020-06-03T04:17:27
8;Home Loan Accou;Checking Account Personal Loan Account;Facilitator deposit;2020-06-02T20:28:22;2020-06-03T12:18:43
9;deliverables ge;reboot;Cheese;2020-06-03T06:31:56;2020-06-03T12:06:00
10;copy;override HDD;PCI;2020-06-03T09:16:51;2020-06-03T13:25:45
