id;id_usuario_creador;id_usuario_firma;id_usuario_lectura;numero_folio;requiere_respuesta;fecha_requerida;estado_lectura;estado_folio;entidad_creacion;fecha_creacion;idlibro_relacionado;id_folio_relacionado;id_folio_respuesta;fecha_modificacion;fecha_firma;fecha_lectura;asunto;anotacion;pdf_firmado;pdf_firmado_content_type;pdf_lectura;pdf_lectura_content_type;id_receptor;posee_folio_referencia;emisor_marcado;tipo_folio_marcado
1;14608;28288;16480;56042;true;2020-06-03T04:07:53;true;true;false;2020-06-03T02:34:35;13351;20879;94720;2020-06-03T08:04:04;2020-06-02T22:40:55;2020-06-02T21:16:01;Infrastructure Yemeni Rial;Syrian Pound Granite indexing;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;63779;false;Sports Universal communities;Sierra Leone
2;37590;70788;68389;15235;false;2020-06-02T21:29:22;true;false;false;2020-06-02T19:21:02;38608;16945;52751;2020-06-03T09:58:34;2020-06-03T02:05:34;2020-06-03T05:16:06;Refined;payment;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;47206;false;Grass-roots;Credit Card Account
3;49155;82415;5272;51003;false;2020-06-03T04:20:32;true;false;false;2020-06-03T05:51:06;43720;81908;80046;2020-06-03T07:37:21;2020-06-03T08:32:56;2020-06-03T10:39:30;systematic;Brooks optimize;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;79236;false;architectures Wisconsin Fantastic Granite Fish;Product Liaison
4;88016;13157;17438;73874;false;2020-06-03T04:23:11;true;false;false;2020-06-03T13:06:20;23198;99262;45761;2020-06-03T16:18:44;2020-06-03T13:56:52;2020-06-03T05:28:38;gold National Shirt;Computers Bahrain;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;98134;true;Home Chips Georgia;Concrete copying Street
5;4323;84040;31306;915;true;2020-06-03T10:13:40;true;true;true;2020-06-02T22:31:55;66548;42068;82334;2020-06-03T05:04:34;2020-06-03T00:22:32;2020-06-03T05:58:38;Generic invoice;Persevering firewall;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;77839;false;users;De-engineered
6;80123;11169;42770;94720;false;2020-06-03T03:39:38;false;false;false;2020-06-03T12:56:36;80415;80312;69766;2020-06-03T00:36:39;2020-06-03T13:06:28;2020-06-03T02:23:31;robust redundant Parkway;definition;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;7187;false;deposit Bike Berkshire;Direct SSL array
7;38278;82237;44442;35835;false;2020-06-02T21:49:26;true;true;false;2020-06-03T18:30:08;54515;33110;19800;2020-06-03T08:13:46;2020-06-02T22:11:02;2020-06-03T08:35:15;Associate;Functionality;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;46488;true;Avon feed Incredible;Islands disintermediate
8;33747;40611;61723;22539;true;2020-06-03T01:46:36;true;true;true;2020-06-02T20:58:25;64739;50434;43398;2020-06-03T00:17:55;2020-06-03T16:00:13;2020-06-03T18:05:20;paradigms Oklahoma;web-enabled;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;31251;false;override;Euro hard drive deliverables
9;34061;67031;75131;60295;false;2020-06-03T07:46:15;true;false;false;2020-06-03T14:10:39;69116;11251;9795;2020-06-03T00:28:38;2020-06-03T10:03:00;2020-06-02T21:00:57;copying invoice;Plastic Fish;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;53838;false;web services;Avon open-source pink
10;45639;64353;67833;17701;true;2020-06-03T11:06:33;false;true;false;2020-06-03T06:24:44;62579;3085;98345;2020-06-03T15:28:28;2020-06-03T08:50:26;2020-06-03T05:32:13;Macao;Kenyan Shilling Data array;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;56840;false;National transmit;compress
