id;nota;fecha_alerta;fecha_creacion;fecha_modificacion
1;Buckinghamshire Soft Decentralized;2020-06-02T23:38:46;2020-06-02T20:26:52;2020-06-03T12:36:40
2;leading edge Metal Tools;2020-06-02T20:49:28;2020-06-03T01:56:02;2020-06-03T03:39:08
3;Refined Granite Computer;2020-06-03T11:45:46;2020-06-03T12:44:56;2020-06-03T11:52:33
4;South Georgia and the South Sandwich Islands;2020-06-03T02:16:20;2020-06-03T13:52:00;2020-06-03T15:03:32
5;Seamless Somali Shilling Table;2020-06-03T17:23:15;2020-06-03T03:46:13;2020-06-03T11:52:59
6;Sleek Soft Sausages;2020-06-03T10:55:47;2020-06-03T15:31:50;2020-06-03T15:32:15
7;Mobility indigo connect;2020-06-03T07:31:30;2020-06-03T07:34:34;2020-06-03T07:16:20
8;Plaza connect;2020-06-03T13:18:38;2020-06-03T02:46:51;2020-06-02T22:55:23
9;Utah Serbia;2020-06-03T17:50:26;2020-06-03T05:33:30;2020-06-02T23:33:42
10;interactive;2020-06-03T16:19:34;2020-06-03T07:15:06;2020-06-03T07:12:28
