id;nota;fecha_creacion;fecha_modificacion;favorito
1;Summit red;2020-06-03T12:20:58;2020-06-02T22:43:26;false
2;Kenya Paradigm Savings Account;2020-06-03T16:33:05;2020-06-02T19:56:21;true
3;connect Industrial;2020-06-03T09:34:57;2020-06-03T15:07:06;true
4;Designer process improvement;2020-06-02T21:16:29;2020-06-03T08:37:22;true
5;User-centric Cambridgeshire optical;2020-06-03T15:29:35;2020-06-03T14:38:13;true
6;Strategist synthesize magnetic;2020-06-03T17:24:55;2020-06-03T17:48:16;true
7;Global connecting;2020-06-03T03:13:13;2020-06-03T18:03:58;true
8;Buckinghamshire Soap;2020-06-03T08:31:59;2020-06-03T10:33:24;true
9;deposit exploit applications;2020-06-02T20:36:09;2020-06-03T06:36:08;false
10;Awesome Virginia;2020-06-03T14:08:19;2020-06-03T14:54:15;false
