id;nota;fecha_creacion;fecha_modificacion
1;Frozen;2020-06-03T04:23:44;2020-06-03T08:35:57
2;Health impactful navigate;2020-06-03T01:56:47;2020-06-03T02:27:30
3;Electronics Illinois Mobility;2020-06-03T02:38:15;2020-06-02T21:27:26
4;Assurance throughput multi-byte;2020-06-03T18:19:24;2020-06-03T14:27:56
5;one-to-one Washington;2020-06-03T06:42:47;2020-06-02T19:28:22
6;Architect Virginia;2020-06-03T06:10:19;2020-06-03T17:23:15
7;Investment Account superstructure Louisiana;2020-06-02T20:29:30;2020-06-03T18:34:29
8;Square white;2020-06-03T10:22:10;2020-06-03T01:10:19
9;Assistant Integration;2020-06-03T09:06:30;2020-06-03T12:20:59
10;Points payment;2020-06-03T05:40:56;2020-06-03T11:41:21
