id;codigo;nombre;descripcion;fecha_creacion;fecha_apertura;fecha_cierre;apertura_mandante;apertura_contratista;escritura_mandante;escritura_contratista;cierre_mandante;cierre_contratista;lectura_mandante;lectura_contratista
1;deposit enable;Mandatory Shoes Greens;Practical Tuvalu payment;2020-06-03T14:52:08;2020-06-03T16:39:04;2020-06-03T02:48:36;true;true;false;true;false;true;true;false
2;Netherlands Antillia;Delaware content-based architect;encompassing Corporate;2020-06-03T05:06:38;2020-06-03T11:37:43;2020-06-03T14:49:48;true;true;false;false;false;false;false;true
3;haptic Incredible wi;EXE Norway Pennsylvania;online;2020-06-03T06:16:09;2020-06-02T22:55:09;2020-06-02T21:44:09;true;false;false;false;false;true;true;false
4;reintermediate Incre;bluetooth Lempira;aggregate;2020-06-02T23:13:25;2020-06-03T02:54:59;2020-06-03T10:10:27;true;true;false;false;true;true;true;true
5;Fresh Practical;Buckinghamshire Product;Baby Personal Loan Account infrastructures;2020-06-02T23:14:35;2020-06-03T02:47:12;2020-06-03T06:20:06;false;true;true;true;false;true;false;true
6;Future-proofed Aweso;strategic;haptic Bedfordshire;2020-06-03T07:01:40;2020-06-03T10:06:25;2020-06-03T17:22:22;false;false;false;false;false;true;false;false
7;Representative blue;Direct recontextualize;Soft Luxembourg sticky;2020-06-03T05:08:42;2020-06-03T13:28:24;2020-06-02T22:45:08;true;true;false;true;true;false;true;false
8;mint green Sleek Fro;Handmade;Circle Synchronised cross-platform;2020-06-02T20:02:19;2020-06-02T23:49:58;2020-06-03T10:16:25;false;false;true;true;true;false;true;false
9;generate Steel;THX web services;Illinois;2020-06-03T05:49:13;2020-06-03T08:13:48;2020-06-03T10:19:41;true;true;false;true;false;true;false;true
10;interface payment pa;Borders;bluetooth Iraq Auto Loan Account;2020-06-03T04:28:46;2020-06-03T10:56:16;2020-06-02T19:39:48;true;true;false;true;false;false;false;false
